user_id,interests,connections
1,"Music and Instrumental, Car Enthusiasts, Web Development","114, 66, 1, 171, 584, 78"
2,,"66, 584"
3,,470
4,,"66, 171"
5,,
6,,
7,Visual Arts,"75, 79, 81, 91, 93, 90, 97, 102, 114, 98, 133, 311"
8,,
9,,584
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,Alternative Medicine,
18,,
19,,
20,,
21,,
22,,
23,,
24,"Literature and Poetry, Music and Instrumental, Theater and Performing Arts, Film and Documentary","142, 78"
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,153
39,,153
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,Visual Arts,
49,,7
50,,
51,,76
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,"Literature and Poetry, Visual Arts","7, 75, 107, 339, 426"
67,,
68,"Literature and Poetry, Visual Arts, Music and Instrumental, Film and Documentary, Electric Vehicles","426, 546, 78"
69,,
70,,
71,,
72,,
73,,
74,,
75,,"7, 76, 79, 93"
76,,"79, 114"
77,,
78,"Literature and Poetry, Visual Arts, Cultural Festivals, Art Exhibitions, Car Enthusiasts, Theater and Performing Arts, Travel Tips and Hacks","377, 395, 420, 423, 440, 153, 441, 424, 444, 445, 446, 447, 449, 426, 456, 459, 475, 489, 490, 496, 534, 346, 535, 543, 351, 548, 553, 546, 562, 563, 565, 567, 568, 570, 566, 571, 572, 581, 161, 583, 68, 601, 605, 637, 642, 649, 650, 652, 495, 673, 677, 678, 683, 692, 1, 707, 706, 754, 759, 757, 835, 839, 844, 883, 905, 921, 142, 617, 345, 945, 959, 964, 941, 967, 312, 968, 975, 974, 983, 978, 976, 995, 997, 996, 999, 1007, 1012, 815, 762, 1030, 1034, 1035, 1045, 1054, 1057, 1058, 1080, 1081, 1082, 1083, 1085, 1084, 1096, 1115, 1122, 1117, 1116, 1135, 1139, 965, 528, 1151, 1556, 685, 1563, 139, 78, 584"
79,,"81, 91, 90, 97, 100, 102, 114, 183, 302, 304, 426"
80,,
81,,426
82,,
83,,
84,,
85,,
86,,
87,,
88,,1113
89,,
91,,98
92,,
93,,
94,"Literature and Poetry, Visual Arts",
95,,
96,"Literature and Poetry, Visual Arts, Music and Instrumental, Theater and Performing Arts",
97,"Literature and Poetry, Motorcycles, Paper Crafts","100, 102"
98,"Visual Arts, Electric Vehicles, Automotive News and Reviews","183, 307, 366, 405, 424, 566, 426, 78"
99,,
100,"Literature and Poetry, Visual Arts",
101,,959
102,"Music and Instrumental, Theater and Performing Arts, Film and Documentary, Cultural Festivals","142, 304, 153, 426"
103,,
104,,
105,,
106,,346
107,"Visual Arts, Music and Instrumental, Anime and Manga","426, 142, 78"
108,,
109,,
110,,
111,,
112,,
113,,
114,Alternative Medicine,"98, 24, 133, 307, 338, 377, 406, 424, 426, 476, 546, 78"
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
134,,
135,,
136,,
137,,
138,,
139,"Literature and Poetry, Visual Arts, Music and Instrumental, Theater and Performing Arts, Film and Documentary, Cultural Festivals, Art Exhibitions, Craftsmanship, Car Enthusiasts, Motorcycles, Electric Vehicles, Car Restoration","959, 685, 78"
140,,
141,,
142,"Literature and Poetry, Visual Arts, Theater and Performing Arts, Cultural Festivals, Art Exhibitions, Motorcycles, Electric Vehicles, Car Restoration, Off-Roading","24, 183, 226, 256, 107, 302, 304, 307, 311, 314, 317, 318, 333, 338, 339, 344, 377, 404, 424, 427, 440, 441, 444, 426, 463, 543, 548, 380, 546, 565, 569, 566, 584, 68, 142, 153, 945, 955, 959, 964, 941, 967, 968, 983, 522, 1012, 1030, 1058, 1064, 1071, 1085, 1115, 685, 78, 754"
143,,
144,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,"Literature and Poetry, Visual Arts, Theater and Performing Arts, Film and Documentary, Cultural Festivals, Art Exhibitions, Craftsmanship, Motorcycles, Electric Vehicles, Motorsport, Vehicle Maintenance and Repair, Personal Styling, Fashion Design, Entrepreneurship, Astronomy and Space, Biology and Medicine, Human Rights, Specific Fandoms (e.g. Harry Potter Star Wars), Niche Collecting (e.g. rare books vintage items), Meditation and Mindfulness, Yoga and Spiritual Practices, Spiritual Growth, Running, Swimming, Sustainable Agriculture, Green Building, Web Development, Mobile App Development, Computers and Laptops, Smart Home Devices, Adventure Travel, Cultural Travel","444, 426, 565, 945, 955, 959, 964, 941, 983, 976, 998, 584, 1069, 78, 1096, 1104, 546"
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,"Visual Arts, Car Enthusiasts, Motorcycles, Car Restoration, Off-Roading, Automotive News and Reviews, Motorsport, Vehicle Maintenance and Repair, Startup Founders, Business Strategy and Management, E-commerce, Business Networking, Comedy, Anime and Manga","546, 584"
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,"Literature and Poetry, Theater and Performing Arts",78
172,,
173,,
174,,
175,,
176,,346
177,,
178,,
179,,
180,,
181,,
182,,
183,"Literature and Poetry, Visual Arts, Music and Instrumental","424, 142, 78, 546"
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,153
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,153
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,"Marketing and Sales, Leadership and Mentoring, Scrapbooking, Furniture Making","426, 142"
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
256,"Film and Documentary, Craftsmanship, Electric Vehicles, Automotive News and Reviews","426, 142, 78, 153"
259,,
260,,1084
261,,
262,,
263,,
264,,
265,,
266,"Literature and Poetry, Motorcycles, Leadership and Mentoring, Esoteric Interests (e.g. cryptozoology paranormal)",
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,"Literature and Poetry, Craftsmanship, Off-Roading",
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,"Literature and Poetry, Electric Vehicles, Candle Making, Home Renovation, Software Engineering, Smartphones and Mobile Devices",
291,,
292,,
293,,
294,,
295,,
296,"Visual Arts, Vehicle Maintenance and Repair, Comedy",
297,,
298,"Literature and Poetry, Publishing and Self-Publishing, Parenting Support Groups",
299,,
300,,
301,,
302,"Literature and Poetry, Pottery and Ceramics, Child Development","426, 78"
303,,
304,"Baking, Gaming, Journaling, Community Service, Wearable Technology, Road Trips","329, 344, 426, 78"
305,,
306,,
307,"Literature and Poetry, Visual Arts, Music and Instrumental, Skincare and Makeup, Fashion Trends, Haircare, Nutrition and Diet","318, 354, 377, 426, 78"
310,,
311,"Literature and Poetry, Art Exhibitions, Car Enthusiasts, Car Restoration, Startup Founders, Candle Making, Woodworking",78
